Country,Region,Population,Income Group,CO2 emissions (metric tons per capita),"% Literacy, adult female","% Literacy, adult male","% Primary completion, female","% Primary completion, male","% Lower secondary completion, female","% Lower secondary completion, male",% Parliament seats held by women
Belarus,Europe & Central Asia,9501534,Upper middle income,6.133707568,,,97.59322357,96.18154907,106.8452225,107.9384918,34.54545455
Belgium,Europe & Central Asia,11331422,High income,8.550513254,,,,,95.18592072,93.65718842,39.33333333
Belize,Latin America & Caribbean,368400,Upper middle income,1.542847448,,,105.7046127,104.9796677,75.80316162,64.99620056,3.125
Benin,Sub-Saharan Africa,10872067,Lower middle income,0.595647727,,,76.03179932,85.3337326,40.25217819,51.2989006,7.228915663
Bermuda,North America,64554,High income,9.486460947,,,,,,,
Bhutan,South Asia,736709,Lower middle income,1.712274453,,,105.9708023,95.49971771,84.82778168,75.69667816,8.510638298
Bolivia,Latin America & Caribbean,11031813,Lower middle income,1.958514344,,,89.59416199,90.21766663,86.39080048,85.38391876,53.07692308
Bosnia and Herzegovina,Europe & Central Asia,3386267,Upper middle income,6.451938373,,,,,,,21.42857143
Botswana,Sub-Saharan Africa,2159944,Upper middle income,2.935373787,,,,,,,9.523809524
Brazil,Latin America & Caribbean,206163058,Upper middle income,2.242393446,93.02120209,92.57515717,,,,,9.941520468
British Virgin Islands,Latin America & Caribbean,29355,High income,7.245307443,,,85.9154892,95.06726074,111.0091705,85.7142868,
Brunei Darussalam,East Asia & Pacific,419800,High income,18.25638399,,,,,101.1174927,101.8348618,6.451612903
Bulgaria,Europe & Central Asia,7127822,Upper middle income,5.851501062,,,91.75952911,92.31513214,,,20.41666667
Burkina Faso,Sub-Saharan Africa,18646378,Low income,0.183287285,,,64.06780243,59.47016907,29.85437965,30.42334938,9.448818898
Burundi,Sub-Saharan Africa,10487998,Low income,0.047201096,,,73.10591125,62.26440048,37.79713821,43.10533905,36.36363636
Cabo Verde,Sub-Saharan Africa,531146,Lower middle income,1.021783088,,,90.13056946,91.93887329,85.92072296,72.51010895,23.61111111
Cambodia,East Asia & Pacific,15766293,Lower middle income,0.629141866,,,94.23995209,90.60925293,48.65008926,46.21564102,20.32520325
Cameroon,Sub-Saharan Africa,23926539,Lower middle income,0.346522621,,,69.4474411,77.28809357,46.64928818,47.69012833,31.11111111
Canada,North America,36109487,High income,15.09005647,,,,,,,26.03550296
Cayman Islands,Latin America & Caribbean,62569,High income,8.732487334,,,,,,,
Central African Republic,Sub-Saharan Africa,4537687,Low income,0.065457798,,,32.83420181,48.87702179,7.635839939,11.9789896,7.194244604
Chad,Sub-Saharan Africa,14561666,Low income,0.069755686,13.95522976,31.32879066,33.02814102,49.58731842,8.480690002,21.46175003,14.89361702
Channel Islands,Europe & Central Asia,166923,High income,0,,,,,,,
